id,title,time,director,year,star1,star2,star3,star4,star5,star6,tomatome_rating,audience_rating,review1,review2,review3,review4,review5
1039,Deadfall,1 hr. 34 min.,Stefan Ruzowitzky,2012,Eric Bana,Olivia Wilde,Charlie Hunnam,Kris Kristofferson,Sissy Spacek,Kate Mara,32,36,"Like all over-ambitious B-movies, this features solid performances by a mix of seasoned talent and promising young actors, all of whom deserve better.","Despite a super-dark noir plot and respectable cast, ""Deadfall"" is a thriller that never quite delivers on its promise.","If you want a chilly, suspenseful thriller, watch Transsiberian, which co-stars the completely-wasted-here Kata Mara.","A B-movie with an A-list cast, crime thriller Deadfall sets its plot in motion with some bracing shocks in its first few minutes.","A strong cast makes up for thinnish characterisation, and it's so like Fargo it might as well be called ""Fargone""."
1040,Celeste and Jesse Forever,1 hr. 29 min.,Lee Toland Krieger,2012,Rashida Jones,Andy Samberg,Chris Messina,Ari Graynor,Emma Roberts,Elijah Wood,70,62,Its bittersweet conclusion hits you square in the gut.,"Thematic murkiness aside, the film achieves a mostly successful mix of mainstream and indie sensibilities.",Rashida Jones' first lead feature role is a likeable enough effort to step out from the tube...,"[A] charming, lightweight comedy ...","The film bears a kinship with the underrated 2006 film The Break-Up; both are, for lack of a better term, post-romantic comedies by exploring the largely virgin territory of what happens long after the meet-cute, when life takes hold and love goes sour."
1041,In My Pocket,1 hr. 34 min.,David Lisle Johnson,2009,Gregory Smith,Brendan Sexton III,Jamie McShane,Zack Ward,Shantel VanSanten,Bostin Christopher,0,75,,,,,
1042,Little White Lies,2 hr. 34 min.,Guillaume Canet,2012,François Cluzet,Marion Cotillard,Benoît Magimel,Gilles Lellouche,Jean Dujardin,Laurent Lafitte,41,64,"""Little White Lies"" is a bit too long, but has plenty of Gallic charm.","A sprawling, initially engaging French comedy-drama that became a hit in France but ultimately underwhelms.","The script is banal, but the acting company and the locations are easy on the eyes.","The overall tone of ""Little White Lies"" feels off, or maybe it just doesn't translate to American audiences.","At times, it's amusing. At times, it's tragic. At times, it's romantic. But, like many vacations, it's way, way too long."
1043,Saving Grace B. Jones,1 hr. 55 min.,Connie Stevens,2012,Michael Biehn,Tatum O'Neal,Penelope Ann Miller,Joel Gretsch,Tricia Leigh Fisher,Audrey Wasilewski,17,57,The film ably captures the painful messiness of seemingly simple lives.,"Ms. O'Neal has her moments, but the decision to portray her as a raving maniac yields diminishing returns.",Most of what Stevens has concocted here is hard to take.,Connie Stevens' directorial debut blends family drama with psychological thriller to ultimately uneven effect.,"The film packs in more characters, subplots, and moments of nostalgic detail than it can gracefully accommodate, and the pacing often feels rushed."
1044,The Coalition,1 hr. 35 min.,Monica Mingo,2013,Adrienne Bailon,Jackée Harry,J R Ramirez,Nicole Garza,Shanti Lowry,Nadine Ellis,0,55,,,,,
1045,Caught on Tape,1 hr. 4 min.,Sticky Fingaz,2013,David Marciano,Malik Yoba,Kirk 'Sticky Fingaz'...,Bokeem Woodbine,Erik Palladino,Cedric the Entertain...,0,30,,,,,
1046,The Bouquet,1 hr. 39 min.,Anne Wheeler,2013,Kristy Swanson,Danny Glover,Michael Shanks,Alberta Mayne,Nicola Cavendish,Jeremy Guilbaut,0,42,Family drama about loss has heavy themes.,,,,
1047,Mafia,1 hr. 21 min.,Ryan Combs,2011,Ving Rhames,Pam Grier,Robert Patrick,Persia White,Sean Derry,Sheila Shah,0,0,,,,,
1048,A Late Quartet,1 hr. 45 min.,Yaron Zilberman,2012,Philip Seymour Hoffm...,Catherine Keener,Christopher Walken,Mark Ivanir,Imogen Poots,Wallace Shawn,78,70,We can note immediately that Zilberman has the requisite gifts.,"The result is a perfectly serviceable, well acted melodrama - but why so serious?","Not without its touching moments, A Late Quartet nevertheless can't truly escape the eye-rolling determinism of its script, with only a pragmatic, wry Christopher Walken truly convincing as a man who has lived inextricably bound with his music.","If nothing else, A Late Quartet captures the reality of dealing with professional classical musicians.",A classical-music ensemble rosins up the bull in a tone-deaf melodrama that loves its musical metaphors almost has much as it adores afternoon soaps.
1049,The Pool,1 hr. 3 min.,Chris Smith,2008,Venkatesh Chavan,Jhangir Badshah,Ayesha Mohan,Nana Patekar,Malcom Faria,Venkatesh Chaven,96,72,"Patekar's ability to convey stoic forbearance with so little apparent effort, is one of the marvellous rewards of this intricately textured and compelling film.","A miraculous, American-made Hindi film that is every bit as tranquil as the blue-green reservoir that serves as its abiding metaphor.",Reality and fiction fuse like watercolors in this quietly compelling narrative feature.,"It's a movie about a time, a place and a situation that isn't going to change soon. [Director] Smith takes his time to establish the people, the landscape and the striking contrast between the lives of the very rich and the very poor.","It's a bit schematic and sweet-natured, perhaps to a fault, yet the faces linger."
1050,The Whole Truth,1 hr. 44 min.,Dan Cohen,1958,Elisabeth Röhm,Eric Roberts,Sean Patrick Flanery,Rick Overton,John Fugelsang,Stewart Granger,0,33,,,,,
1051,As I Stand,1 hr. 56 min.,Carlo Nicoletta,2013,Ian Hutton,Adam M. Griffith,Donna DelBueno,Thomas Hitchcock,Vanessa Amador,Donna Del Bueno,0,0,,,,,
1052,The Pill,1 hr. 23 min.,J.C. Khoury,2011,Noah Bean,Rachel Boston,Anna Chlumsky,Jean Brassard,Al Thompson,Dreama Walker,70,60,Does the title refer to contraception? Or one of this sort-of comedy's three leads? It's a toss-up; everyone involved is just so irritating.,This might be more entertaining if any of the three main characters were at all likable.,"While their story is feather-light, Khoury and his actors have each type down perfectly.",What makes Khoury's film work-at least until its cop-out ending -- is the consistency of Fred's loathsomeness.,"Deftly avoiding both the haphazardness of mumblecore and the fakery of studio romantic comedies, Khoury deploys a light directorial touch marked by assured thesping and a genuine appreciation for neurotic angst."
1053,28 Hotel Rooms,1 hr. 22 min.,Matt Ross,2012,Marin Ireland,Chris Messina,Martin Ireland,,,,43,38,"""28 Hotel Rooms"" slowly expires for lack of air.",A chamber piece rooted in semi-improvisation.,"While Messina and Ireland are fine company, writer-director Matt Ross' conceit tires you out.","In eliminating all the filler, it ends up feeling like nothing but.","Dismaying affectations aside-the characters go needlessly unnamed-the movie articulates the enduring allure of a love defined, and heightened, by restrictions."
1054,Teddy Bear,1 hr. 32 min.,Mads Matthiesen,2012,Kim Kold,Elsebeth Steentoft,Lamaiporn Sangmanee ...,David Winters,Barbara Zatler,Allan Mogensen,93,81,"The sex and filial troubles of 308-pound persons are not exactly common. But Matthiesen has evoked both the pathos and courage in these troubles, and, with the help of this reticent giant, explores them enticingly.","This wispy story is distinguished by its sweetness of spirit, and it comes straight from Kold.","A heart-wrenching central performance anchors Mads Matthiesen's intimate, empathetic drama about a Danish bodybuilder who aims to grow up as he nears middle age.","Matthiesen and his cast have created a believable space, and that ultimately helps give Teddy Bear the tension of a fine suspense film once Kold sits down across the kitchen table from Steentoft to speak his mind at last.",A largely likable tale about a 38-year-old man-child trying finally to grow up.
1055,The Men Next Door,1 hr. 24 min.,Rob Williams,2012,Benjamin Lutz,Eric Dean,Heidi Rhodes,Michael Nicklin,Mark Cirillo,Christopher Schram,0,36,,,,,
1056,Amazing Love,1 hr. 20 min.,Kevin Downes,2012,Sean Astin,Patty Duke,Elijah Alexander,Erin Bethea,Kenton Duty,Sammi Hanratty,0,53,,,,,
1057,Yelling to the Sky,1 hr. 35 min.,Victoria Mahoney,2012,Zoë Kravitz,Jason Clarke,Antonique Smith,Yolonda Ross,Gabourey Sidibe,Tim Blake Nelson,40,46,"This is grim, bleak material that at times is monotonous, but its woe feels authentic.","Not much happens in story terms, but the film swirls with emotions that make it by turns grim and amusing, heavy and light, obvious and vague.","Mahoney barely explains her characters' circumstances, which makes the movie obliquely intriguing. But whenever the story comes into focus, it's revealed as fairly conventional.","""Yelling"" is a prosaic look at a hard life. Like Sweetness, the movie finds its way by instinct.","Little more than a résumé film for all involved, it certainly feels more Park City than Bushwick."
1058,Robot & Frank,1 hr. 30 min.,Jake Schreier,2012,Frank Langella,Susan Sarandon,James Marsden,Liv Tyler,Peter Sarsgaard,Jeremy Sisto,86,75,FRANK & ROBOT is a poignant tale of man and machine,"One of the few movies I've seen where the future is not a dystopic nightmare, 3D-generated phantasmagoria, or otherwise unbelievable peek into a not-too-distant hellworld.","While the premise certainly makes it stand out from the sea of dysfunctional family dramas, a cute idea alone doesn't quite cut it.","A slightly futuristic treatise on aging, family and the pitfalls of mechanical screenwriting.","Christopher D. Ford's seamless screenplay provides a light-comedy vehicle that Langella rides to a satisfyingly original, epiphanic finale."
1059,Dangerous Liaisons,1 hr. 50 min.,Jin-ho Hur,2012,Cecilia Cheung,Dong-gun Jang,Ziyi Zhang,Lisa Lu,Shawn Dou,Candy Wang,71,54,They have made the film function successfully almost as well as in the original setting.,"Much of the cynicism, and thus the fun, of its many Western predecessors goes missing.","Schadenfreude carries a delectable tang no matter the language, and as the history of Hollywood shows, stories about pretty people behaving badly remain reliably alluring.","Zhang, expertly conveying someone closed off yet silently sensual, even rolls out a tear during a moment of impending intimacy as exquisitely timed as a dancer's move.",Takes Pierre Choderlos de Laclos' 18th century source material to its most sumptuous silliness - I mean that as a compliment.
1060,Skyler,1 hr. 22 min.,Clenet Verdi-Rose,2012,Dean West,Kristi Engelmann,Annemarie Pazmino,Tony Moras,Anika Noni Rose,,0,0,,,,,
1061,Planet of Snail,1 hr. 27 min.,Yi Seung-jun,2012,Young-Chan,Soon-Ho,Cho Youngchan,,,,100,72,"""Planet of Snail"" is simple, direct and magical.","Gentle, simply told love stories are as rare in documentaries these days as they are in narrative film. That alone makes Yi Seung-jun's ""Planet of Snail"" a standout.","""Planet of Snail"" offers a precious moment of clarity and simplicity amid a chaotic and poisonous summer, and tells an unforgettable love story to boot.","With little story to speak of, Planet Of Snail is more of an experiential piece, closing in on the pleasure and wonder with which Young-chan takes in details like rain falling outside the window and the bark of a tree.","Above all, this beautifully photographed documentary is a poetic meditation on refined sensory perception."
1062,The Thieves,2 hr. 16 min.,Dong-hun Choi,2012,Yun-seok Kim,Hye-su Kim,Kim Hye-Soo,Lee Jung-Jae,Gianna Jun,Simon Yam,70,72,"""The Thieves"" carves its own niche with moments of romance and stylish mayhem mixed with a more emotionally conflicted, winner-take-all sensibility than its American brethren.","[A] sprawling, relentlessly entertaining thriller.",Welcome to the K-cinema equivalent of comfort food.,"Easier to like than it is to follow, Choi Dong-hoon's glossy caper boasts all the pomp and cajolery of the true international blockbuster.","Sadly, plot padding sees the film, lengthy for a heist thriller at 136 minutes, eventually wear out its welcome."
1063,The Sessions,1 hr. 35 min.,Ben Lewin,2012,John Hawkes,Helen Hunt,William H. Macy,Annika Marks,Moon Bloodgood,Adam Arkin,93,80,"The Sessions is an unflinching, moving and often funny story about dignity and sexuality.","It's all so plodding and beige, yet giving this movie a bad review is like kicking a kitten.","The Sessions is a tender, well-intentioned examination of a disabled man exploring his sexual identity, but sometimes a film needs more than just good intentions.","May sound like shameless Oscar-bait, but in truth the film is simpler than that, more small-scale, with a light and unpretentious sense of humor.",It's difficult not to be impressed with director and screenwriter Ben Lewin's ability to bring this distinctive and surprisingly emotional story to the big screen.
1064,The Kid with a Bike,1 hr. 27 min.,Jean-Pierre Dardenne,2012,Cécile De France,Thomas Doret,Jérémie Renier,Olivier Gourmet,Fabrizio Rongione,Egon Di Mateo,96,76,"The directing by the Dardenne brothers reflects their previous work: it wants to be unnoticed either for virtuosity or clumsiness, yet only virtuosos can attain this ideal.",It's nonetheless immensely satisfying - not least in its commitment to a child protagonist whose near-feral intensity and unthinking ingratitude make him the polar opposite of cute.,"There is not a wasted shot in this stripped down, pared back fable. Yet, it accrues a deep and lasting power. You won't see many better this year.","Seriously, enough is enough.","The movie is so quiet that everything starts to feel heightened; the smallest motions carry great weight, and something as minor as a slammed door causes you to gasp."
